timestamp,vllm:gpu_cache_usage_perc,vllm:cpu_cache_usage_perc,vllm:num_requests_running,vllm:num_requests_waiting,vllm:num_requests_swapped,vllm:prompt_tokens_total,vllm:generation_tokens_total,lmcache_local_cache_size,lmcache_remote_cache_size,lmcache_hit_tokens,lmcache_miss_tokens
2026-05-17T02:43:50.230890,0.0,0.0,0.0,0.0,0.0,21272.0,8508.0,0.0,0.0,0.0,0.0
2026-05-17T02:43:51.238793,0.0,0.0,0.0,0.0,0.0,21272.0,8508.0,0.0,0.0,0.0,0.0
2026-05-17T02:43:52.247487,0.0,0.0,0.0,0.0,0.0,21272.0,8508.0,0.0,0.0,0.0,0.0
2026-05-17T02:43:53.255591,0.0,0.0,1.0,0.0,0.0,21352.0,8611.0,0.0,0.0,0.0,0.0
2026-05-17T02:43:54.264218,0.0,0.0,1.0,0.0,0.0,21437.0,8663.0,0.0,0.0,0.0,0.0
2026-05-17T02:43:55.273430,0.0,0.0,1.0,0.0,0.0,21437.0,8768.0,0.0,0.0,0.0,0.0
2026-05-17T02:43:56.281626,0.0,0.0,1.0,0.0,0.0,21519.0,8820.0,0.0,0.0,0.0,0.0
2026-05-17T02:43:57.289967,0.0,0.0,1.0,0.0,0.0,21519.0,8925.0,0.0,0.0,0.0,0.0
2026-05-17T02:43:58.298537,0.0,0.0,1.0,0.0,0.0,21601.0,8977.0,0.0,0.0,0.0,0.0
2026-05-17T02:43:59.306769,0.0,0.0,1.0,0.0,0.0,21682.0,9030.0,0.0,0.0,0.0,0.0
2026-05-17T02:44:00.315181,0.0,0.0,1.0,0.0,0.0,21682.0,9135.0,0.0,0.0,0.0,0.0
2026-05-17T02:44:01.323745,0.0,0.0,1.0,0.0,0.0,21761.0,9187.0,0.0,0.0,0.0,0.0
2026-05-17T02:44:02.332042,0.0,0.0,0.0,0.0,0.0,21761.0,9291.0,0.0,0.0,0.0,0.0
2026-05-17T02:44:03.341270,0.0,0.0,1.0,0.0,0.0,21844.0,9344.0,0.0,0.0,0.0,0.0
2026-05-17T02:44:04.349794,0.0,0.0,0.0,0.0,0.0,21844.0,9441.0,0.0,0.0,0.0,0.0
2026-05-17T02:44:05.358121,0.0,0.0,1.0,0.0,0.0,21927.0,9501.0,0.0,0.0,0.0,0.0
2026-05-17T02:44:06.366584,0.0,0.0,0.0,0.0,0.0,21927.0,9591.0,0.0,0.0,0.0,0.0
2026-05-17T02:44:07.374973,0.0,0.0,0.0,0.0,0.0,21927.0,9591.0,0.0,0.0,0.0,0.0
2026-05-17T02:44:08.382971,0.0,0.0,0.0,0.0,0.0,21927.0,9591.0,0.0,0.0,0.0,0.0
2026-05-17T02:44:09.390829,0.0,0.0,0.0,0.0,0.0,21927.0,9591.0,0.0,0.0,0.0,0.0
