timestamp,vllm:gpu_cache_usage_perc,vllm:cpu_cache_usage_perc,vllm:num_requests_running,vllm:num_requests_waiting,vllm:num_requests_swapped,vllm:prompt_tokens_total,vllm:generation_tokens_total,lmcache_local_cache_size,lmcache_remote_cache_size,lmcache_hit_tokens,lmcache_miss_tokens
2026-05-17T02:42:58.499852,0.0,0.0,0.0,0.0,0.0,3310.0,6191.0,0.0,0.0,0.0,0.0
2026-05-17T02:42:59.508063,0.0,0.0,0.0,0.0,0.0,3310.0,6191.0,0.0,0.0,0.0,0.0
2026-05-17T02:43:00.517869,0.0,0.0,0.0,0.0,0.0,3310.0,6191.0,0.0,0.0,0.0,0.0
2026-05-17T02:43:01.527075,0.0,0.0,0.0,0.0,0.0,3392.0,6254.0,0.0,0.0,0.0,0.0
2026-05-17T02:43:02.535827,0.0,0.0,0.0,0.0,0.0,3474.0,6317.0,0.0,0.0,0.0,0.0
2026-05-17T02:43:03.544740,0.0,0.0,0.0,0.0,0.0,3556.0,6380.0,0.0,0.0,0.0,0.0
2026-05-17T02:43:04.552940,0.0,0.0,0.0,0.0,0.0,3638.0,6443.0,0.0,0.0,0.0,0.0
2026-05-17T02:43:05.560971,0.0,0.0,1.0,0.0,0.0,3720.0,6501.0,0.0,0.0,0.0,0.0
2026-05-17T02:43:06.569100,0.0,0.0,1.0,0.0,0.0,3802.0,6553.0,0.0,0.0,0.0,0.0
2026-05-17T02:43:07.577040,0.0,0.0,0.0,0.0,0.0,3802.0,6569.0,0.0,0.0,0.0,0.0
2026-05-17T02:43:08.584804,0.0,0.0,0.0,0.0,0.0,3802.0,6569.0,0.0,0.0,0.0,0.0
2026-05-17T02:43:09.593141,0.0,0.0,0.0,0.0,0.0,3802.0,6569.0,0.0,0.0,0.0,0.0
