timestamp,vllm:gpu_cache_usage_perc,vllm:cpu_cache_usage_perc,vllm:num_requests_running,vllm:num_requests_waiting,vllm:num_requests_swapped,vllm:prompt_tokens_total,vllm:generation_tokens_total,lmcache_local_cache_size,lmcache_remote_cache_size,lmcache_hit_tokens,lmcache_miss_tokens
2026-05-17T02:42:31.020917,0.0,0.0,0.0,0.0,0.0,2886.0,4698.0,0.0,0.0,0.0,0.0
2026-05-17T02:42:32.029684,0.0,0.0,0.0,0.0,0.0,2886.0,4698.0,0.0,0.0,0.0,0.0
2026-05-17T02:42:33.039435,0.0,0.0,0.0,0.0,0.0,2886.0,4698.0,0.0,0.0,0.0,0.0
2026-05-17T02:42:34.048631,0.0,0.0,1.0,0.0,0.0,2930.0,4801.0,0.0,0.0,0.0,0.0
2026-05-17T02:42:35.058789,0.0,0.0,1.0,0.0,0.0,2971.0,4853.0,0.0,0.0,0.0,0.0
2026-05-17T02:42:36.067848,0.0,0.0,1.0,0.0,0.0,2971.0,4958.0,0.0,0.0,0.0,0.0
2026-05-17T02:42:37.077571,0.0,0.0,1.0,0.0,0.0,3013.0,5009.0,0.0,0.0,0.0,0.0
2026-05-17T02:42:38.086430,0.0,0.0,1.0,0.0,0.0,3013.0,5114.0,0.0,0.0,0.0,0.0
2026-05-17T02:42:39.096182,0.0,0.0,1.0,0.0,0.0,3056.0,5166.0,0.0,0.0,0.0,0.0
2026-05-17T02:42:40.105551,0.0,0.0,1.0,0.0,0.0,3056.0,5271.0,0.0,0.0,0.0,0.0
2026-05-17T02:42:41.115268,0.0,0.0,1.0,0.0,0.0,3100.0,5323.0,0.0,0.0,0.0,0.0
2026-05-17T02:42:42.123878,0.0,0.0,1.0,0.0,0.0,3100.0,5428.0,0.0,0.0,0.0,0.0
2026-05-17T02:42:43.132411,0.0,0.0,1.0,0.0,0.0,3142.0,5480.0,0.0,0.0,0.0,0.0
2026-05-17T02:42:44.140604,0.0,0.0,1.0,0.0,0.0,3142.0,5585.0,0.0,0.0,0.0,0.0
2026-05-17T02:42:45.148893,0.0,0.0,1.0,0.0,0.0,3184.0,5637.0,0.0,0.0,0.0,0.0
2026-05-17T02:42:46.156991,0.0,0.0,0.0,0.0,0.0,3184.0,5741.0,0.0,0.0,0.0,0.0
2026-05-17T02:42:47.164735,0.0,0.0,1.0,0.0,0.0,3224.0,5794.0,0.0,0.0,0.0,0.0
2026-05-17T02:42:48.172900,0.0,0.0,0.0,0.0,0.0,3224.0,5891.0,0.0,0.0,0.0,0.0
2026-05-17T02:42:49.181130,0.0,0.0,1.0,0.0,0.0,3268.0,5951.0,0.0,0.0,0.0,0.0
2026-05-17T02:42:50.189561,0.0,0.0,0.0,0.0,0.0,3268.0,6041.0,0.0,0.0,0.0,0.0
2026-05-17T02:42:51.198169,0.0,0.0,1.0,0.0,0.0,3310.0,6108.0,0.0,0.0,0.0,0.0
2026-05-17T02:42:52.206625,0.0,0.0,0.0,0.0,0.0,3310.0,6191.0,0.0,0.0,0.0,0.0
2026-05-17T02:42:53.214983,0.0,0.0,0.0,0.0,0.0,3310.0,6191.0,0.0,0.0,0.0,0.0
2026-05-17T02:42:54.222938,0.0,0.0,0.0,0.0,0.0,3310.0,6191.0,0.0,0.0,0.0,0.0
2026-05-17T02:42:55.230845,0.0,0.0,0.0,0.0,0.0,3310.0,6191.0,0.0,0.0,0.0,0.0
