timestamp,vllm:gpu_cache_usage_perc,vllm:cpu_cache_usage_perc,vllm:num_requests_running,vllm:num_requests_waiting,vllm:num_requests_swapped,vllm:prompt_tokens_total,vllm:generation_tokens_total,lmcache_local_cache_size,lmcache_remote_cache_size,lmcache_hit_tokens,lmcache_miss_tokens
2026-05-17T02:43:13.230316,0.0,0.0,0.0,0.0,0.0,3802.0,6569.0,0.0,0.0,0.0,0.0
2026-05-17T02:43:14.238906,0.0,0.0,0.0,0.0,0.0,3802.0,6569.0,0.0,0.0,0.0,0.0
2026-05-17T02:43:15.248371,0.0,0.0,0.0,0.0,0.0,3802.0,6569.0,0.0,0.0,0.0,0.0
2026-05-17T02:43:16.258132,0.0,0.0,1.0,0.0,0.0,5543.0,6613.0,0.0,0.0,0.0,0.0
2026-05-17T02:43:17.267713,0.0,0.0,1.0,0.0,0.0,5543.0,6717.0,0.0,0.0,0.0,0.0
2026-05-17T02:43:18.277617,0.0,0.0,1.0,0.0,0.0,6418.0,6769.0,0.0,0.0,0.0,0.0
2026-05-17T02:43:19.288534,0.0,0.0,1.0,0.0,0.0,7290.0,6820.0,0.0,0.0,0.0,0.0
2026-05-17T02:43:20.297925,0.0,0.0,1.0,0.0,0.0,7290.0,6925.0,0.0,0.0,0.0,0.0
2026-05-17T02:43:21.306253,0.0,0.0,1.0,0.0,0.0,8161.0,6977.0,0.0,0.0,0.0,0.0
2026-05-17T02:43:22.315307,0.0,0.0,1.0,0.0,0.0,9035.0,7028.0,0.0,0.0,0.0,0.0
2026-05-17T02:43:23.324122,0.0,0.0,1.0,0.0,0.0,9035.0,7133.0,0.0,0.0,0.0,0.0
2026-05-17T02:43:24.332736,0.0,0.0,1.0,0.0,0.0,9903.0,7185.0,0.0,0.0,0.0,0.0
2026-05-17T02:43:25.340750,0.0,0.0,0.0,0.0,0.0,9903.0,7285.0,0.0,0.0,0.0,0.0
2026-05-17T02:43:26.349459,0.0,0.0,1.0,0.0,0.0,10773.0,7341.0,0.0,0.0,0.0,0.0
2026-05-17T02:43:27.357778,0.0,0.0,0.0,0.0,0.0,11646.0,7381.0,0.0,0.0,0.0,0.0
2026-05-17T02:43:28.366347,0.0,0.0,0.0,0.0,0.0,12521.0,7436.0,0.0,0.0,0.0,0.0
2026-05-17T02:43:29.374681,0.0,0.0,1.0,0.0,0.0,13394.0,7496.0,0.0,0.0,0.0,0.0
2026-05-17T02:43:30.382633,0.0,0.0,0.0,0.0,0.0,13394.0,7584.0,0.0,0.0,0.0,0.0
2026-05-17T02:43:31.391483,0.0,0.0,1.0,0.0,0.0,14272.0,7652.0,0.0,0.0,0.0,0.0
2026-05-17T02:43:32.399599,0.0,0.0,0.0,0.0,0.0,14272.0,7734.0,0.0,0.0,0.0,0.0
2026-05-17T02:43:33.408393,0.0,0.0,0.0,0.0,0.0,15146.0,7760.0,0.0,0.0,0.0,0.0
2026-05-17T02:43:34.416981,0.0,0.0,1.0,0.0,0.0,16017.0,7860.0,0.0,0.0,0.0,0.0
2026-05-17T02:43:35.425481,0.0,0.0,1.0,0.0,0.0,16888.0,7912.0,0.0,0.0,0.0,0.0
2026-05-17T02:43:36.433805,0.0,0.0,1.0,0.0,0.0,16888.0,8016.0,0.0,0.0,0.0,0.0
2026-05-17T02:43:37.442573,0.0,0.0,1.0,0.0,0.0,17759.0,8068.0,0.0,0.0,0.0,0.0
2026-05-17T02:43:38.450614,0.0,0.0,1.0,0.0,0.0,17759.0,8173.0,0.0,0.0,0.0,0.0
2026-05-17T02:43:39.459171,0.0,0.0,1.0,0.0,0.0,18646.0,8224.0,0.0,0.0,0.0,0.0
2026-05-17T02:43:40.467414,0.0,0.0,0.0,0.0,0.0,18646.0,8282.0,0.0,0.0,0.0,0.0
2026-05-17T02:43:41.475951,0.0,0.0,0.0,0.0,0.0,19517.0,8335.0,0.0,0.0,0.0,0.0
2026-05-17T02:43:42.484389,0.0,0.0,1.0,0.0,0.0,20394.0,8432.0,0.0,0.0,0.0,0.0
2026-05-17T02:43:43.492721,0.0,0.0,1.0,0.0,0.0,21272.0,8484.0,0.0,0.0,0.0,0.0
2026-05-17T02:43:44.500674,0.0,0.0,0.0,0.0,0.0,21272.0,8508.0,0.0,0.0,0.0,0.0
2026-05-17T02:43:45.508646,0.0,0.0,0.0,0.0,0.0,21272.0,8508.0,0.0,0.0,0.0,0.0
2026-05-17T02:43:46.517141,0.0,0.0,0.0,0.0,0.0,21272.0,8508.0,0.0,0.0,0.0,0.0
